,id,conversation_id,created_at,date,time,timezone,user_id,username,name,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,reply_to
20,1297321287312789508,1297321287312789508,1598140472000,2020-08-22,23:54:32,0,30846824,toicitiesnews,TOI Cities,"Jodhpur crosses 10,000 Covid cases  http://toi.in/eriBua ",en,[],['http://toi.in/eriBua'],[],0,0,0,[],[],https://twitter.com/TOICitiesNews/status/1297321287312789508,False,,0,"[{'user_id': '30846824', 'username': 'TOICitiesNews'}]"
21,1297321286738128896,1297321286738128896,1598140472000,2020-08-22,23:54:32,0,38400130,channelnewsasia,CNA,"Global COVID-19 deaths approach 800,000  https://cna.asia/3gfFg2s  pic.twitter.com/qzmiaP1Y6r",en,[],['https://cna.asia/3gfFg2s'],['https://pbs.twimg.com/media/EgEC1d0U0AYG_3m.jpg'],0,3,3,[],[],https://twitter.com/ChannelNewsAsia/status/1297321286738128896,False,,0,"[{'user_id': '38400130', 'username': 'ChannelNewsAsia'}]"
22,1297321240999464961,1297321240999464961,1598140461000,2020-08-22,23:54:21,0,1199771785148993536,heerak4congress,Heerak Christian Kim for US Congress (Virginia-8),"US citizens should expect everything to be closed in Winter due to millions of COVID-19 deaths.

USA is on target for millions of deaths in Flu Season.

In August, over 1,000 are dying, every day!

USA = 25% of all world COVID-19 deaths!

See pinned tweet!
 https://www.charlotteobserver.com/news/business/biz-columns-blogs/whats-in-store/article245159240.html …",en,[],['https://www.charlotteobserver.com/news/business/biz-columns-blogs/whats-in-store/article245159240.html'],[],0,0,0,[],[],https://twitter.com/Heerak4Congress/status/1297321240999464961,False,,0,"[{'user_id': '1199771785148993536', 'username': 'Heerak4Congress'}]"
23,1297321159340331008,1297321159340331008,1598140442000,2020-08-22,23:54:02,0,30846824,toicitiesnews,TOI Cities,Sero surveys launched in 3 dists to find extent of Covid spread  http://toi.in/gx9b3Y96 ,en,[],['http://toi.in/gx9b3Y96'],[],0,1,1,[],[],https://twitter.com/TOICitiesNews/status/1297321159340331008,False,,0,"[{'user_id': '30846824', 'username': 'TOICitiesNews'}]"
24,1297320940821311489,1297320092011769856,1598140390000,2020-08-22,23:53:10,0,1859566374,nancywyuen,Nancy Wang Yuen,Hope you stay COVID-free!,en,['trandavidc'],[],[],1,0,1,[],[],https://twitter.com/nancywyuen/status/1297320940821311489,False,,0,"[{'user_id': '1859566374', 'username': 'nancywyuen'}, {'user_id': '42440514', 'username': 'trandavidc'}]"
25,1297320921586442240,1297320921586442240,1598140385000,2020-08-22,23:53:05,0,20538284,poststar,The Post-Star,"The number of cornoavirus-related hospitalizations in New York has fallen to the lowest level since mid-March, Gov. Andrew Cuomo announced Saturday. Locally, Warren County Health Services reported one new COVID-19 case Saturday.  https://poststar.com/news/local/statewide-covid-hospitalizations-fall-to-lowest-level-since-march/article_67f2c0bb-cb9b-5242-a16a-fc44711e2b8c.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=twitter_poststar …",en,[],['https://poststar.com/news/local/statewide-covid-hospitalizations-fall-to-lowest-level-since-march/article_67f2c0bb-cb9b-5242-a16a-fc44711e2b8c.html?utm_campaign=snd-autopilot&utm_medium=social&utm_source=twitter_poststar'],[],0,0,0,[],[],https://twitter.com/poststar/status/1297320921586442240,False,,0,"[{'user_id': '20538284', 'username': 'poststar'}]"
26,1297320796121993216,1297320449240571904,1598140355000,2020-08-22,23:52:35,0,291,goldman,Jason Goldman,The fatality is covid,en,['hunterwalk'],[],[],0,0,6,[],[],https://twitter.com/goldman/status/1297320796121993216,False,,0,"[{'user_id': '291', 'username': 'goldman'}, {'user_id': '46063', 'username': 'hunterwalk'}]"
27,1297320691482542081,1297320691482542081,1598140330000,2020-08-22,23:52:10,0,22594051,staronline,The Star,"Battling unemployment amid covid-19
 https://www.thestar.com.my/news/nation/2020/08/23/battling-unemployment-amid-covid-19 … https://www.thestar.com.my/news/nation/2020/08/23/battling-unemployment-amid-covid-19 …",en,[],"['https://www.thestar.com.my/news/nation/2020/08/23/battling-unemployment-amid-covid-19', 'https://www.thestar.com.my/news/nation/2020/08/23/battling-unemployment-amid-covid-19']",[],0,3,3,[],[],https://twitter.com/staronline/status/1297320691482542081,False,,0,"[{'user_id': '22594051', 'username': 'staronline'}]"
28,1297320659979104262,1297320659979104262,1598140323000,2020-08-22,23:52:03,0,1113341312,insidersabc,Insiders ABC,"Aged Care Minister Richard Colbeck's inability to give a figure on how many people in aged care had died of COVID-19 was ""such an embarrassing [moment] and hurtful for the many families who are victims of this awful virus,"" says @PatsKarvelas. #Insiders #auspol pic.twitter.com/SkQ1Rgp4Sh",en,['patskarvelas'],[],[],25,24,90,"['#insiders', '#auspol']",[],https://twitter.com/InsidersABC/status/1297320659979104262,False,,1,"[{'user_id': '1113341312', 'username': 'InsidersABC'}, {'user_id': '95091601', 'username': 'PatsKarvelas'}]"
29,1297320641025146880,1297320641025146880,1598140318000,2020-08-22,23:51:58,0,217698153,zakinus,Zaki Nusseibeh,"Even in the covid era, this artwork celebrates the wonderful weirdness of human togetherness  https://wapo.st/arianassalon?tid=ss_tw …",en,[],['https://wapo.st/arianassalon?tid=ss_tw'],[],0,0,0,[],[],https://twitter.com/Zakinus/status/1297320641025146880,False,,0,"[{'user_id': '217698153', 'username': 'Zakinus'}]"
